Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Manufacturing,Production,"Pourers and Casters, Metal",1.19,3.57,1,2.44,7,1.13,0.105719535,0.116932027,0.09369259,0.02491733,-0.098150643,20.04,79.96,0,0,0,0,0,0,0,0,0,0
Manufacturing,Production,Power Distributors and Dispatchers,1,5.08,3,2.51,5.16,1.95,0.089695187,0.145486631,0.140780749,0.024053476,-0.110106952,0,21.55,40.32,8.44,24.05,5.64,0,0,0,0,0,0
Manufacturing,Production,Power Plant Operators,1,5.08,1.96,2.64,6.63,1.38,0.08718031,0.135489567,0.111942215,0.023162119,-0.104494382,3.46,59.81,8.16,1.74,14.29,12.54,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Precision Agriculture Technicians,1.17,4.82,2.15,5.5,6.55,1.44,0.118469718,0.127609801,0.104909847,0.02357374,-0.103786408,0,8.7,17.39,4.35,30.43,34.78,0,4.35,0,0,0,0
"Arts, Audio/Video Technology & Communications",Printing Technology,Prepress Technicians and Workers,3.09,5.76,1.45,2,4.87,1.56,0.118852109,0.124303257,0.113913508,0.027084891,-0.088836092,2.14,39.34,9.47,20.65,23.19,5.2,0,0,0,0,0,0
Education & Training,Teaching/Training,"Preschool Teachers, Except Special Education",4.06,3.59,2.63,2.77,2.71,7,0.180711775,0.115206503,0.183374341,0.061704745,-0.095144991,0,28.75,10.34,12.17,11.55,17.23,7.91,12.04,0,0,0,0
Human Services,Personal Care Services,"Pressers, Textile, Garment, and Related Materials",2.54,3.67,1,1.42,6.16,1.13,0.12629397,0.10781407,0.101903266,0.024145729,-0.087927136,59.18,25.62,0,0,1.05,0,0,0,0,0,14.15,0
Health Science,Therapeutic Services,Preventive Medicine Physicians,1.84,3.34,2.36,6.82,3.28,5.39,0.170399479,0.121854103,0.149539731,0.052752931,-0.104316109,0,0,0,0,0,0,0,0,0,0,26.32,73.68
"Arts, Audio/Video Technology & Communications",Printing Technology,Print Binding and Finishing Workers,2.28,5.05,1.23,1.31,5.34,1.46,0.103239352,0.126010798,0.111853629,0.027492501,-0.091979604,4.35,87.93,3.79,1.16,2.78,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Printing Technology,Printing Press Operators,1.69,5.65,1.93,1.33,4.74,1.66,0.084141176,0.142347059,0.127841176,0.026705882,-0.100241176,1.22,73.17,19.46,6.15,0,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Private Detectives and Investigators,1.48,5.41,4.12,3.92,2.43,2.84,0.114737624,0.152326733,0.167326733,0.028227723,-0.112376238,0,25.11,4.25,12.07,16.41,37.69,4.46,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Correction Services,Probation Officers and Correctional Treatment Specialists,2.2,4.11,3.9,3.47,2.24,5.63,0.147350348,0.13812065,0.190663573,0.049582367,-0.109262181,0,0.85,1.67,1.67,5.34,88.03,0,2.44,0,0,0,0
Business Management & Administration,Administrative Support,Procurement Clerks,1,7,4.31,1.63,3.01,1.66,0.059672219,0.173100484,0.167705535,0.016802794,-0.116179473,0,48.23,0,16.79,2.25,32.73,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Producers and Directors,6.15,3.55,5.78,2.23,2.14,3.13,0.194604003,0.113533507,0.193781549,0.019425587,-0.093246301,0,15.22,10.58,4.61,12.89,56.67,0,0.04,0,0,0,0
Manufacturing,Quality Assurance,"Production, Planning, and Expediting Clerks",1.15,5.92,4.9,1.2,3.11,2.1,0.072121872,0.168618063,0.186099021,0.016985854,-0.118770403,19.48,36.75,9.4,21.17,13.21,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Printing Technology,Proofreaders and Copy Markers,3.47,6.12,1.46,2.51,1.63,2.2,0.136572743,0.132472685,0.131822887,0.035980449,-0.086141461,0,11.21,6.24,12.04,23.2,47.3,0,0,0,0,0,0
Marketing,Marketing Management,"Property, Real Estate, and Community Association Managers",1.75,5.36,6.77,2.22,3.14,3.49,0.105393753,0.159049714,0.20550374,0.020479542,-0.120637923,0,15,10,5,5,55,0,0,0,10,0,0
Health Science,Therapeutic Services,Prosthodontists,1.68,3.41,1.56,5.63,6.16,4.45,0.152311053,0.114814329,0.126343381,0.04743993,-0.101214504,0,0,2.91,0,0,0,0,0,0,0,36.06,61.03
Health Science,Therapeutic Services,Psychiatric Aides,1.81,3.97,1.84,4.03,3.63,6.63,0.149529895,0.127133729,0.163966225,0.065052487,-0.103696942,0,24.17,16.49,45.7,9.56,4.08,0,0,0,0,0,0
Health Science,Therapeutic Services,Psychiatric Technicians,2.09,3.63,1.38,4.63,3.43,6.71,0.163411065,0.12051669,0.157398262,0.067732053,-0.100347508,0,19.77,5.02,40.12,3.18,29.78,0,2.13,0,0,0,0
Health Science,Therapeutic Services,Psychiatrists,2.72,3.9,2.12,6.37,2.14,5.98,0.179009901,0.120787774,0.15544124,0.057877744,-0.099311235,0,0.47,0,0,0,0,0,5.03,0,1.8,34.18,58.53
Education & Training,Teaching/Training,"Psychology Teachers, Postsecondary",3.85,3.26,2.37,5.56,2.13,7,0.196934216,0.1118494,0.168721556,0.061584609,-0.095502689,0,0,0,0,0,0,0,14.76,0,0,54.58,30.67
Marketing,Marketing Communications,Public Relations Specialists,4.72,3.47,5.81,2.79,1,3.94,0.184841233,0.126231017,0.20819144,0.027008744,-0.101624482,0,0,0,0,0,90.91,0,9.09,0,0,0,0
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,Public Safety Telecommunicators,1,5.54,2.9,2.88,4.25,3.6,0.097273178,0.148621715,0.154417452,0.038973723,-0.110560238,0,63.35,10.64,11,10.27,4.74,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Pump Operators, Except Wellhead Pumpers",1,4.51,1.46,2.26,6.67,1.28,0.088760186,0.130116414,0.104819558,0.024493597,-0.102153667,0,60.86,8.4,8.48,4.61,17.64,0,0,0,0,0,0
Manufacturing,Manufacturing Production Process Development,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.12,5.69,4.99,1.91,3.39,1.93,0.08058329,0.164182869,0.179479769,0.01526537,-0.118565423,0,8.7,0,0,4.35,78.26,8.7,0,0,0,0,0
Business Management & Administration,Operations Management,Purchasing Managers,1.4,5.55,7,2.01,2.04,2.77,0.093586904,0.170500722,0.215146846,0.014323544,-0.124910929,0,5.26,15.79,5.26,10.53,52.63,0,10.53,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Quality Control Analysts,1.12,5.83,2.42,4.96,4.06,1.19,0.104892748,0.143983657,0.11552094,0.022073544,-0.105474974,5.65,37.77,9.62,8.82,10.24,27.9,0,0,0,0,0,0
Business Management & Administration,Operations Management,Quality Control Systems Managers,1.17,5.7,5.05,4.02,3.6,2.07,0.101619621,0.155502082,0.164807959,0.017542804,-0.116450717,0,0,0,0,0,100,0,0,0,0,0,0
Health Science,Therapeutic Services,Radiation Therapists,1.23,4.52,1.73,4.64,4.88,4.75,0.13062069,0.129921839,0.138533333,0.051370115,-0.10474023,0,0,8.87,3.45,50.14,37.54,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Radio Frequency Identification Device Specialists,1.4,5.38,1.4,4.81,5.27,1.35,0.113773585,0.130560938,0.098521163,0.027072922,-0.099235084,0,5.58,0,0,10.14,74.83,1.79,7.66,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Radio, Cellular, and Tower Equipment Installers and Repairers",1.06,4.53,1.36,3.45,6.69,1.37,0.102621885,0.12652221,0.099263272,0.026110509,-0.101224269,4.17,30.71,21.68,18.01,15.67,9.75,0,0,0,0,0,0
Health Science,Diagnostic Services,Radiologic Technologists and Technicians,1,4.87,1,4.63,6.25,3.58,0.117716831,0.126915143,0.112906704,0.045368026,-0.101950305,0,0,16.52,0,72.85,10.63,0,0,0,0,0,0
Health Science,Therapeutic Services,Radiologists,1.19,4.8,2.14,6.6,4.76,3.91,0.13707265,0.130205128,0.127897436,0.042504274,-0.105470085,0,0,3.04,0,11.08,0,0,0,0,0,28.02,57.86
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Rail Car Repairers,1.22,4.17,1.24,2.69,7,1.39,0.102529644,0.122365895,0.099819311,0.026273292,-0.099604743,0,61.41,37.62,0,0.96,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Rail Yard Engineers, Dinkey Operators, and Hostlers",1,4.22,1.91,2.31,7,1.61,0.094204986,0.129218837,0.115185596,0.024825485,-0.10465928,4.11,82.54,13.35,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Rail-Track Laying and Maintenance Equipment Operators,1,4.11,1,1.7,7,1,0.085003163,0.124636306,0.094231499,0.023674889,-0.099367489,9.78,90.22,0,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Railroad Conductors and Yardmasters,1,4.87,3.77,1.97,5.8,1.85,0.085706127,0.14645379,0.151085151,0.018733126,-0.113307373,0,85.64,8.35,0,6.01,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Range Managers,1.45,3.83,4.43,4.9,5.7,2.51,0.130512708,0.132598598,0.150539001,0.021919369,-0.11204645,0,0,0,0,9.73,80.34,0.79,9.15,0,0,0,0
Marketing,Professional Sales,Real Estate Brokers,1,5.61,6.43,1.54,2.62,2.96,0.081587302,0.172316468,0.211493056,0.018005952,-0.125689484,3.27,12.42,0.84,23.65,5.89,36.73,8.6,0,0,8.6,0,0
Marketing,Professional Sales,Real Estate Sales Agents,1.93,5.11,6.43,1.46,2.02,3.5,0.106523227,0.162513447,0.218435208,0.02207824,-0.120396088,9.52,42.86,23.81,9.52,4.76,4.76,0,4.76,0,0,0,0
Business Management & Administration,Administrative Support,Receptionists and Information Clerks,1,6.23,4.23,1.92,1.87,3.63,0.08221928,0.170217161,0.190699153,0.035317797,-0.117653602,0.32,49.48,20.86,25.66,3.68,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Recreation Workers,3.05,3.45,4.51,1.98,3.75,4.9,0.151377079,0.128461183,0.19357671,0.039103512,-0.106372458,0.65,25.48,3.22,0.45,8.1,61.96,0,0.14,0,0,0,0
Education & Training,Teaching/Training,"Recreation and Fitness Studies Teachers, Postsecondary",3.43,3.43,2.51,4.78,3.17,7,0.181620066,0.115143914,0.169449013,0.060304276,-0.098120888,0,0,0,0,0,5.04,0,20.8,0,0,74.16,0
Health Science,Therapeutic Services,Recreational Therapists,3.03,2.5,2.52,4.17,3.82,6.86,0.182655022,0.111895197,0.173406114,0.060943231,-0.100017467,0,0,0,0,0,91.89,5.41,2.7,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Recreational Vehicle Service Technicians,1,4.01,1.28,2.61,7,1.62,0.100039954,0.123835616,0.103658676,0.028356164,-0.101575342,0.26,47.85,41.73,8.07,0,0,0,0,0,0,0,2.08
"Transportation, Distribution & Logistics",Transportation Operations,Recycling Coordinators,1,4.57,4.77,2.25,4,3.37,0.10004509,0.153431864,0.185546092,0.028106212,-0.118872745,0,47.06,0,0,22.84,30.11,0,0,0,0,0,0
Manufacturing,Production,Recycling and Reclamation Workers,1,4.39,1.59,2.04,6.28,1.28,0.08787696,0.131899879,0.10990953,0.0239807,-0.102937274,1.87,74.12,1.45,0,14.55,0,0,0,0,0,8.01,0
Architecture & Construction,Maintenance/Operations,"Refractory Materials Repairers, Except Brickmasons",1.31,3.55,1,2.2,7,1.02,0.105603234,0.115833333,0.093302239,0.023594527,-0.097089552,0.8,74.85,17.27,7.08,0,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Environmental Service Systems,Refuse and Recyclable Material Collectors,1,4.41,1.55,1.77,7,1.39,0.084935748,0.129877336,0.108779206,0.024591121,-0.10276285,1.6,81.47,5.74,0,11.19,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Registered Nurses,1.31,4.58,2.28,4.82,3.66,5.62,0.136524472,0.134786709,0.156196677,0.055675797,-0.107202515,0,0.76,22.5,0,19.39,55.92,0,1.43,0,0,0,0
Business Management & Administration,General Management,Regulatory Affairs Managers,1.25,6.05,6.41,2.84,1.75,2.64,0.093037249,0.171036294,0.201680993,0.01669532,-0.122908309,0,0,0,4.35,0,73.91,4.35,13.04,0,0,4.35,0
Government & Public Administration,Governance,Regulatory Affairs Specialists,1,6.32,4.46,3.33,1.48,2.46,0.089469816,0.169779528,0.176687664,0.024645669,-0.117354331,0,0,0,0,0,80,5,10,0,0,0,5
Human Services,Counseling & Mental Health Services,Rehabilitation Counselors,2.99,3.26,3.56,3.26,1.23,6.81,0.175371862,0.128540976,0.204045476,0.060753198,-0.104632875,0,12.92,0,0,0,55.86,0,27.86,2.08,1.28,0,0
Architecture & Construction,Construction,Reinforcing Iron and Rebar Workers,1.2,3.68,1.33,2.24,7,1.15,0.102204819,0.12010241,0.100927711,0.023192771,-0.099921687,36.56,33.86,29.58,0,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Remote Sensing Scientists and Technologists,1.87,4.84,1.49,6.04,4.84,1.31,0.138626778,0.122461991,0.09733693,0.026390387,-0.096856302,0,0,0,0,4,60,16,20,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Remote Sensing Technicians,2.03,5.16,1.67,4.67,5.16,1.47,0.126825397,0.125421627,0.10530754,0.02625,-0.096830357,0,9.49,4.5,6.04,9.2,62.04,8.41,0.32,0,0,0,0
Hospitality & Tourism,Travel & Tourism,Reservation and Transportation Ticket Agents and Travel Clerks,1.27,5.66,4.02,1,2.12,4.36,0.088269126,0.165008139,0.201144872,0.042360282,-0.116093326,9.29,75.21,0.59,12.15,2.18,0.59,0,0,0,0,0,0
Human Services,Personal Care Services,Residential Advisors,2.29,4.53,3.77,2.46,2.63,5.45,0.136057738,0.140151443,0.1906531,0.048769522,-0.108211074,7.32,1.45,0,50.25,0,31.29,0,3.35,0,0,6.34,0
Health Science,Therapeutic Services,Respiratory Therapists,1,3.84,1.72,4.81,4.92,5.05,0.136471415,0.127563261,0.141940019,0.05425492,-0.106363636,0,0,5.15,0,82.75,11.69,0.41,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,Retail Loss Prevention Specialists,1,5.71,4.72,3.37,3.95,2.65,0.095317757,0.156084112,0.167411215,0.023130841,-0.116719626,5.15,68.63,4.29,0,11.43,10.5,0,0,0,0,0,0
Marketing,Professional Sales,Retail Salespersons,2.09,5.04,6.08,1,3.3,2.98,0.102791606,0.15624695,0.205549048,0.018335774,-0.117374329,19.32,63.45,2.02,1.42,9.79,4.01,0,0,0,0,0,0
Architecture & Construction,Construction,Riggers,1.36,3.7,1.87,2.39,7,1,0.10584873,0.121449192,0.108198614,0.018787529,-0.101449192,21.17,62.85,15.98,0,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Robotics Engineers,1.81,4.57,1.74,5.79,6.1,1.43,0.135429104,0.119813433,0.099771455,0.025177239,-0.098507463,0,0,0,3.33,16.67,50,6.67,16.67,0,0,6.67,0
Manufacturing,Manufacturing Production Process Development,Robotics Technicians,1,4.49,1.04,4.08,6.98,1.09,0.10640257,0.123062099,0.08753212,0.025224839,-0.099753747,0,9.09,22.73,0,45.45,18.18,4.55,0,0,0,0,0
Architecture & Construction,Construction,"Rock Splitters, Quarry",1.75,3.21,1.17,2.08,6.96,1.25,0.119908648,0.110188794,0.10093179,0.024445798,-0.095146163,49.54,31.48,0,0,0,0,0,0,0,18.98,0,0
Manufacturing,Production,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",1,4.07,1,1.69,6.84,1,0.085429487,0.124897436,0.094865385,0.023794872,-0.099358974,12.57,74.21,3.36,9.86,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Roof Bolters, Mining",1,3.47,1.02,2.64,7,1,0.104110353,0.117761934,0.091444513,0.023676379,-0.099491631,13.29,86.71,0,0,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Roofers,1.24,3.41,1.55,1.2,7,1.48,0.096775819,0.121026448,0.114578086,0.0247733,-0.101278338,26.14,48.9,10.83,7.53,0,0,0,0,0,2.42,2.08,2.08
Architecture & Construction,Construction,"Rotary Drill Operators, Oil and Gas",1,3.78,2.2,3.05,7,1.16,0.10426608,0.126129742,0.112451897,0.019312809,-0.105563496,31.11,28.74,9.08,22.15,0,8.91,0,0,0,0,0,0
Architecture & Construction,Construction,"Roustabouts, Oil and Gas",1,3.71,1,1.81,7,1,0.091411082,0.121159794,0.094143041,0.023556701,-0.09935567,64.13,35.49,0,0,0.38,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Sailors and Marine Oilers,1,3.95,2.42,2.62,6.98,1.25,0.098397366,0.12935236,0.118743139,0.018935236,-0.106739846,22.03,52.41,24.16,0.62,0,0,0.78,0,0,0,0,0
Marketing,Professional Sales,Sales Engineers,1.79,4.49,5.81,3.66,3.16,2.87,0.124476584,0.148526171,0.186597796,0.019862259,-0.116781451,0,0,0,6,11.51,57.33,0,25.17,0,0,0,0
Marketing,Marketing Management,Sales Managers,1.31,5.58,7,1.66,1.49,3.29,0.091200197,0.17466306,0.225764879,0.018706345,-0.126492868,0,0,0,4.35,13.04,65.22,8.7,8.7,0,0,0,0
Marketing,Professional Sales,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.69,4.89,6.09,2.3,2.64,2.63,0.107524704,0.158670949,0.200785573,0.016422925,-0.119659091,0,47.98,0,14.18,3.96,33.89,0,0,0,0,0,0
Marketing,Professional Sales,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.51,5.03,5.39,3.15,2.84,2.98,0.111578947,0.154904306,0.187095694,0.022861244,-0.117392344,0,14.41,13.75,30.47,0,39.48,1.59,0,0,0,0.31,0
Manufacturing,Production,"Sawing Machine Setters, Operators, and Tenders, Wood",1,4.13,1,2.33,7,1.13,0.092995781,0.123514165,0.093465943,0.02522604,-0.099553948,21.75,59.25,9.5,9.5,0,0,0,0,0,0,0,0
Human Services,Counseling & Mental Health Services,School Psychologists,3.31,4.01,2.82,5,1,6.77,0.181920559,0.124727193,0.180261894,0.061209079,-0.099650808,0,0,0,0,0,0,0.09,46.42,53.03,0.46,0,0
Information Technology,Information Support and Services,Search Marketing Strategists,3.23,4.69,5.53,3.81,1,2.7,0.152290076,0.142724237,0.190319656,0.02019084,-0.107829198,0,4.35,8.7,17.39,21.74,47.83,0,0,0,0,0,0
Education & Training,Teaching/Training,"Secondary School Teachers, Except Special and Career/Technical Education",3.71,3.63,2.75,3.23,2.85,7,0.176581787,0.117703927,0.181566681,0.060807078,-0.097509711,0,0,0,0,0,52.6,14.74,24.17,4.24,0,4.24,0
Business Management & Administration,Administrative Support,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1,6.97,4.2,1.37,1.98,3.62,0.069022989,0.174973877,0.18976489,0.035203762,-0.117262278,0,49.9,6.51,10.23,22.37,10.98,0,0,0,0,0,0
Finance,Securities & Investments; Professional Sales,"Securities, Commodities, and Financial Services Sales Agents",1.29,5.27,6.08,2.53,1.25,3.08,0.101553846,0.169548718,0.212153846,0.021487179,-0.123282051,0,26.83,1.09,5.83,1.1,55.3,6.03,3.8,0,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,Security Guards,1,4.87,2.95,2.2,6.2,2.78,0.0925,0.140495,0.144245,0.03029,-0.110055,0,79.26,4.16,9.56,5.06,1.96,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Security and Fire Alarm Systems Installers,1.03,4.86,1.62,3.3,6.67,1.39,0.096836248,0.130604134,0.104027557,0.025039746,-0.102649709,0,41.41,48.58,8.41,1.6,0,0,0,0,0,0,0
Architecture & Construction,Construction,Segmental Pavers,1.96,3.42,1.3,1.6,6.71,1.36,0.117724771,0.112140673,0.107657492,0.024752294,-0.094434251,6.57,58.91,30.89,2.83,0.8,0,0,0,0,0,0,0
Education & Training,Teaching/Training,Self-Enrichment Teachers,4.14,2.99,3.18,2.95,2.61,7,0.188425885,0.113611718,0.190699606,0.059164845,-0.096912986,0,13.51,18.48,0.26,13.51,18.09,0.69,34.69,0,0,0,0.76
Manufacturing,Production,Semiconductor Processing Technicians,1,5.14,1.45,3.07,6.42,1.11,0.089565695,0.133260033,0.099433755,0.023633865,-0.101797691,11.72,83.85,1.32,0.45,2.34,0.09,0,0.08,0,0,0,0.15
Manufacturing,Production,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1,4.47,1.09,2.29,6.27,1.1,0.088668311,0.129180025,0.097102343,0.025166461,-0.100006165,4.72,90.81,1.92,1.47,0,0.76,0.32,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,Septic Tank Servicers and Sewer Pipe Cleaners,1,4.28,1.22,2.11,7,1.48,0.090754827,0.126430661,0.102674078,0.027355178,-0.101135167,37.08,40.44,22.13,0.34,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Service Unit Operators, Oil and Gas",1,4.17,1.84,2.55,7,1.17,0.094935138,0.127969543,0.108133108,0.021156232,-0.103891709,37,63,0,0,0,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Set and Exhibit Designers,7,3.28,3.91,2.85,3.56,3.08,0.211955236,0.094438345,0.161241554,0.025380068,-0.08198902,0,0,0,9.52,4.76,33.33,0,33.33,9.52,4.76,4.76,0
Manufacturing,Production,"Sewers, Hand",2.89,3.23,1.26,1,6.28,1.62,0.137315725,0.103218673,0.115251843,0.026916462,-0.087653563,82.18,10.83,0.38,4.06,2.03,0,0,0,0,0.52,0,0
Manufacturing,Production,Sewing Machine Operators,1.71,3.92,1.17,1.38,6.74,1.19,0.102209808,0.118100559,0.103122284,0.024065798,-0.095276226,52.93,41.37,0.72,0,4.97,0,0,0,0,0,0,0
Human Services,Personal Care Services,Shampooers,1.56,3.37,2.47,1.35,5.53,3.75,0.118319468,0.127787022,0.159628397,0.04171381,-0.106106489,13.05,18.35,67.55,1.05,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Sheet Metal Workers,1.64,3.57,1,2.06,7,1,0.111327597,0.112839582,0.093902889,0.023066994,-0.094665028,7.2,49,43.81,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Ship Engineers,1,4.7,3.68,3.55,6.57,1.76,0.101044214,0.138419567,0.136862653,0.018814675,-0.11158984,3.08,47.95,23.85,6.15,0,8.18,10.79,0,0,0,0,0
Business Management & Administration,Administrative Support,"Shipping, Receiving, and Inventory Clerks",1,7,3.16,1.26,3.83,1.45,0.052491525,0.167525424,0.147237288,0.01979661,-0.110926554,0,74.91,0.52,1.88,11.94,10.76,0,0,0,0,0,0
Manufacturing,Production,Shoe Machine Operators and Tenders,1.36,4.16,1.53,1.93,6.65,1.37,0.097976471,0.125052941,0.109311765,0.024470588,-0.100111765,46.4,38,0,15.31,0.29,0,0,0,0,0,0,0
Manufacturing,Production,Shoe and Leather Workers and Repairers,3.25,2.95,1.49,1.6,6.83,1.32,0.149931193,0.097276376,0.110940367,0.022006881,-0.086840596,43.61,56.39,0,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Signal and Track Switch Repairers,1,4.54,1,2.67,6.46,1.17,0.092476247,0.127648456,0.094085511,0.02631829,-0.099608076,33.98,28.74,23.78,9.63,3.87,0,0,0,0,0,0,0
Human Services,Personal Care Services,Skincare Specialists,2.92,3.15,3.01,2.06,5.8,4.06,0.149438095,0.11537619,0.159985714,0.038295238,-0.100080952,0,0.65,87.3,10.25,1.8,0,0,0,0,0,0,0
Manufacturing,Production,Slaughterers and Meat Packers,1.39,3.53,2.12,2.22,6.58,1.71,0.110689459,0.123196581,0.123327635,0.02442735,-0.103316239,28.63,60.8,0,10.57,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Social Science Research Assistants,2.05,5.78,2.35,6,2.48,2.76,0.138305322,0.136876751,0.130074697,0.0354155,-0.100966387,0,0,0,8.61,0,52.73,1.59,36.7,0,0,0.36,0
Education & Training,Teaching/Training,"Social Work Teachers, Postsecondary",3.65,3.42,2.88,4.94,2.32,7,0.187269723,0.116608839,0.176245353,0.059434118,-0.098397356,0,0,0,0,0,0,0,28.73,0,6.03,60.7,4.53
Human Services,Family & Community Services,Social and Community Service Managers,2.34,4.55,7,2.15,1,5.35,0.131808843,0.15719071,0.234676195,0.033983921,-0.120375167,0,7.24,0,2.19,8.15,50.36,0,23.93,8.12,0,0,0
Human Services,Family & Community Services,Social and Human Service Assistants,1.97,4.55,3.59,2.8,1.26,6.1,0.138727183,0.146127282,0.201184016,0.057252097,-0.110296004,0,10.41,0,16.21,17.99,39.39,1.07,7.39,3.77,0,3.77,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Sociologists,3.96,3.57,3.08,6.43,1.61,4.42,0.197412224,0.114351972,0.156545297,0.042475076,-0.095249241,0,0,0,0,0,10,0,30,0,0,50,10
Education & Training,Teaching/Training,"Sociology Teachers, Postsecondary",3.57,3.41,2.56,5.57,2.53,6.66,0.189148148,0.114460905,0.166584362,0.058296296,-0.097333333,0,0,0,0,0,0,0,22.84,0.48,0,76.68,0
Information Technology,Information Support and Services; Programming and Software Development,Software Quality Assurance Analysts and Testers,1.69,5.68,1.57,5.76,3.8,1.53,0.126570145,0.133010484,0.103999001,0.028901648,-0.098457314,0,2.94,8.82,8.82,26.47,50,0,2.94,0,0,0,0
"Agriculture, Food & Natural Resources",Plant Systems,Soil and Plant Scientists,2.11,3.41,1.72,6.72,6.43,1.68,0.158935206,0.108685999,0.09921613,0.026647032,-0.097063888,0,0,4.76,0,4.76,23.81,4.76,28.57,4.76,4.76,19.05,4.76
Architecture & Construction,Construction,Solar Energy Installation Managers,1.27,4.19,4.85,2.65,5.86,1.74,0.103433852,0.142310311,0.161318093,0.013015564,-0.1155107,18.71,52.86,2.74,10.03,9.36,6.29,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Solar Energy Systems Engineers,2.11,3.96,3.05,5.02,5.97,1.9,0.140658791,0.121408451,0.12620627,0.022612449,-0.10269423,3.7,7.41,11.11,7.41,11.11,55.56,0,0,0,3.7,0,0
Architecture & Construction,Construction,Solar Photovoltaic Installers,1.35,4.06,1.68,2.65,7,1.28,0.105316315,0.122752497,0.106459489,0.022774695,-0.10082131,10.97,33.71,36.91,0,3.38,13.94,0,1.1,0,0,0,0
Marketing,Professional Sales,Solar Sales Representatives and Assessors,1.39,4.43,5.56,2.73,3.52,2.75,0.110343474,0.152639843,0.189504416,0.019489696,-0.119067713,0,9.44,10.22,2.42,44.93,21.63,7,4.38,0,0,0,0
Architecture & Construction,Maintenance/Operations,Solar Thermal Installers and Technicians,1.13,3.66,1.6,2.69,7,1.7,0.107986502,0.121687289,0.110281215,0.027154106,-0.102384702,0,43.24,7.52,24.9,1.88,11.23,11.23,0,0,0,0,0
